cotovelo_direito,cotovelo_esquerdo,ombro_direito,ombro_esquerdo,cintura_direita,cintura_esquerda,joelho_direito,joelho_esquerdo,braco_direito,braco_esquerdo,figure,image_name
178,170,8,17,167,178,144,172,0.5427251732101617,0.5291319857312723,lib,perspective_1_flipped_lib_32.jpeg
175,179,0,17,153,175,111,176,0.5279232111692844,0.5225066195939982,lib,flipped_lib_70.jpeg
159,164,26,19,172,159,172,152,0.5124677558039553,0.5492845786963434,lib,lib_37.jpeg
173,173,6,17,156,177,121,179,0.532392026578073,0.5216652506372133,lib,flipped_lib_21.jpeg
176,172,17,13,170,178,161,171,0.5366568914956011,0.4984126984126984,lib,flipped_lib_0.jpeg
170,177,17,10,173,170,168,165,0.536117381489842,0.5176056338028169,lib,perspective_1_lib_78.jpeg
171,179,7,7,136,175,103,159,0.5109826589595375,0.5279017857142857,lib,perspective_1_flipped_lib_49.jpeg
179,175,10,11,175,121,178,62,0.4963273871983211,0.49206349206349204,lib,perspective_1_lib_94.jpeg
177,173,11,17,169,173,139,172,0.5260663507109005,0.5161290322580645,lib,perspective_1_flipped_lib_13.jpeg
172,164,16,9,172,143,171,93,0.5205338809034907,0.5195473251028807,lib,perspective_1_lib_71.jpeg
168,167,17,15,163,135,143,122,0.5018076644974693,0.5385130609511052,lib,lib_18.jpeg
169,179,14,15,177,154,176,131,0.5316558441558441,0.5320356853203568,lib,lib_53.jpeg
172,177,13,7,171,177,170,178,0.5354767184035477,0.521689497716895,lib,perspective_1_flipped_lib_43.jpeg
167,177,3,12,150,174,109,179,0.5060763888888888,0.5177966101694915,lib,perspective_1_flipped_lib_9.jpeg
167,173,4,12,145,176,94,170,0.4934210526315789,0.5009259259259259,lib,flipped_lib_91.jpeg
179,176,6,11,142,179,112,169,0.521511017838405,0.5365853658536586,lib,perspective_1_flipped_lib_26.jpeg
175,166,16,20,173,179,166,178,0.5351170568561873,0.49954995499549953,lib,flipped_lib_84.jpeg
170,171,9,17,179,174,179,166,0.5174488567990373,0.5320886814469078,lib,perspective_1_lib_43.jpeg
176,175,10,11,174,154,164,136,0.4785643070787637,0.5471861471861472,lib,perspective_1_lib_19.jpeg
173,178,5,14,164,171,128,175,0.525781910397295,0.5233644859813084,lib,flipped_lib_68.jpeg
170,173,17,18,175,178,175,179,0.5340179717586649,0.5375796178343949,lib,perspective_1_lib_44.jpeg
176,174,15,19,156,177,127,168,0.5403587443946188,0.48813982521847693,lib,perspective_1_flipped_lib_82.jpeg
170,179,3,15,159,175,117,179,0.5284139100932994,0.5243798118049615,lib,flipped_lib_69.jpeg
163,179,22,12,177,116,170,75,0.519559902200489,0.5338078291814946,lib,perspective_1_lib_27.jpeg
171,174,18,14,175,164,173,121,0.49379652605459057,0.5064516129032258,lib,perspective_1_lib_4.jpeg
175,174,9,17,157,176,122,176,0.5282224094355518,0.5238095238095238,lib,flipped_lib_22.jpeg
175,169,6,7,177,126,166,96,0.5324347093513058,0.5300592718035563,lib,lib_49.jpeg
165,177,15,10,174,169,174,142,0.5072614107883817,0.5301681503461919,lib,perspective_1_lib_98.jpeg
161,171,23,14,179,163,178,144,0.5119047619047619,0.5415335463258786,lib,lib_32.jpeg
165,171,17,16,177,167,176,152,0.5035460992907801,0.5364238410596026,lib,lib_44.jpeg
171,176,7,8,176,117,171,78,0.5041958041958042,0.5147159479808351,lib,lib_9.jpeg
173,174,10,16,103,170,48,178,0.5029585798816568,0.5005945303210464,lib,perspective_1_flipped_lib_94.jpeg
178,169,11,18,174,172,162,178,0.5403087478559176,0.5306479859894921,lib,flipped_lib_45.jpeg
173,176,14,7,173,118,161,80,0.5220125786163522,0.5279503105590062,lib,lib_26.jpeg
165,175,9,18,145,172,101,179,0.4969097651421508,0.5090470446320868,lib,perspective_1_flipped_lib_70.jpeg
162,175,18,17,172,173,176,133,0.5167785234899329,0.548306148055207,lib,perspective_1_lib_88.jpeg
172,173,14,15,167,174,168,150,0.5296950240770465,0.5396700706991359,lib,lib_55.jpeg
167,178,20,11,173,144,171,89,0.5109321058688148,0.5267260579064588,lib,perspective_1_lib_70.jpeg
166,169,18,16,165,152,141,134,0.48066298342541436,0.5398601398601398,lib,lib_19.jpeg
177,179,4,16,146,168,97,174,0.509926854754441,0.5149948293691831,lib,perspective_1_flipped_lib_72.jpeg
173,173,14,9,176,176,153,177,0.5292066259808196,0.5143884892086331,lib,flipped_lib_87.jpeg
167,170,15,18,174,174,173,168,0.5251623376623377,0.5447470817120622,lib,lib_56.jpeg
168,171,16,17,176,173,174,170,0.5212510024057738,0.5477272727272727,lib,lib_58.jpeg
168,177,7,9,129,173,97,155,0.5207509881422925,0.5363288718929254,lib,perspective_1_flipped_lib_48.jpeg
178,172,12,8,179,145,170,102,0.5170975813177648,0.5166944908180301,lib,lib_70.jpeg
176,170,10,12,154,179,103,174,0.5142857142857142,0.5,lib,perspective_1_flipped_lib_90.jpeg
175,179,10,11,176,172,176,168,0.5325865580448065,0.5517578125,lib,perspective_1_lib_58.jpeg
173,157,16,25,177,175,175,179,0.5359361135758651,0.5275519421860885,lib,flipped_lib_35.jpeg
175,168,11,15,155,174,103,179,0.5182978723404256,0.49867139061116034,lib,flipped_lib_97.jpeg
167,163,14,4,179,140,176,76,0.4908424908424908,0.5044563279857398,lib,lib_96.jpeg
171,176,5,13,146,172,98,179,0.5209424083769634,0.49725274725274726,lib,perspective_1_flipped_lib_7.jpeg
176,164,10,16,171,169,171,167,0.543778801843318,0.5536519386834986,lib,lib_43.jpeg
167,173,12,12,172,179,169,149,0.5073260073260073,0.5251544571932921,lib,lib_87.jpeg
172,174,8,14,176,162,167,141,0.4879328436516264,0.5325670498084292,lib,perspective_1_lib_104.jpeg
178,170,11,13,167,178,132,166,0.5229166666666667,0.4699074074074074,lib,perspective_1_flipped_lib_98.jpeg
178,179,10,16,163,171,129,179,0.5020283975659229,0.5157790927021696,lib,perspective_1_flipped_lib_67.jpeg
173,169,18,14,176,179,171,173,0.536783042394015,0.5043362241494329,lib,flipped_lib_14.jpeg
172,174,9,3,177,136,172,84,0.5116931711880262,0.5,lib,perspective_1_lib_92.jpeg
171,179,20,16,172,130,163,80,0.4985014985014985,0.5250709555345316,lib,perspective_1_lib_6.jpeg
161,177,25,13,176,167,171,152,0.5171455050973123,0.5198156682027649,lib,lib_33.jpeg
172,166,16,18,176,174,176,177,0.5503626107977437,0.5459723352318958,lib,flipped_lib_57.jpeg
171,170,15,4,174,179,176,178,0.520851818988465,0.48325358851674644,lib,flipped_lib_100.jpeg
167,173,2,16,136,179,93,162,0.5233302836230558,0.5233302836230558,lib,flipped_lib_26.jpeg
169,167,17,25,142,163,115,145,0.5535714285714286,0.5158450704225352,lib,flipped_lib_81.jpeg
170,173,5,12,123,173,71,155,0.49049773755656106,0.493705035971223,lib,flipped_lib_92.jpeg
171,167,15,16,167,136,167,113,0.544904137235116,0.5785046728971963,lib,lib_41.jpeg
174,173,11,11,143,177,89,175,0.5009041591320073,0.5,lib,flipped_lib_96.jpeg
178,165,17,21,179,177,160,161,0.5395503746877602,0.5101860053144376,lib,flipped_lib_82.jpeg
177,174,15,14,167,175,146,171,0.5301027900146843,0.49921752738654146,lib,flipped_lib_2.jpeg
179,178,14,11,172,164,168,111,0.5117924528301887,0.5284738041002278,lib,perspective_1_lib_68.jpeg
174,173,12,13,172,168,168,140,0.5533333333333333,0.5433300876338851,lib,perspective_1_lib_57.jpeg
162,176,0,12,122,178,72,166,0.505338078291815,0.5057777777777778,lib,flipped_lib_93.jpeg
173,179,20,8,171,156,167,104,0.524170616113744,0.5107212475633528,lib,lib_75.jpeg
167,178,18,8,159,169,145,166,0.5623242736644799,0.5403543307086615,lib,flipped_lib_41.jpeg
175,177,7,16,155,175,115,175,0.5205616850551655,0.5295275590551181,lib,perspective_1_flipped_lib_69.jpeg
168,175,11,17,148,173,104,179,0.48559670781893005,0.4939271255060729,lib,perspective_1_flipped_lib_71.jpeg
173,179,16,11,175,154,171,104,0.5312810327706058,0.5349753694581281,lib,perspective_1_lib_69.jpeg
178,179,10,13,156,174,107,178,0.5272579332790887,0.48990342405618964,lib,perspective_1_flipped_lib_6.jpeg
171,177,17,15,177,176,172,142,0.5094905094905094,0.5296934865900383,lib,perspective_1_lib_2.jpeg
172,179,14,12,179,148,174,128,0.5371329879101899,0.5367329299913569,lib,lib_46.jpeg
177,175,16,13,143,161,119,143,0.5360824742268041,0.5226615236258437,lib,perspective_1_flipped_lib_16.jpeg
171,179,5,5,137,170,90,150,0.48778004073319753,0.5130687318489835,lib,perspective_1_flipped_lib_92.jpeg
172,177,21,16,175,145,177,118,0.4799618320610687,0.5244328097731239,lib,lib_89.jpeg
173,179,13,15,179,175,175,163,0.48428290766208254,0.5382585751978892,lib,perspective_1_lib_1.jpeg
177,168,10,18,169,177,161,177,0.5142857142857142,0.5206073752711496,lib,perspective_1_flipped_lib_33.jpeg
179,163,15,20,137,178,99,171,0.5201845444059977,0.5196304849884527,lib,perspective_1_flipped_lib_50.jpeg
167,169,16,15,149,176,108,173,0.5072463768115942,0.49195402298850577,lib,perspective_1_flipped_lib_97.jpeg
168,179,15,14,174,129,170,70,0.5006195786864932,0.515625,lib,perspective_1_lib_90.jpeg
171,177,6,13,137,176,94,173,0.5129604365620737,0.5024390243902439,lib,flipped_lib_8.jpeg
162,175,16,13,173,169,173,169,0.4976905311778291,0.5188053097345132,lib,perspective_1_lib_99.jpeg
171,175,13,14,173,158,168,141,0.5079513564078578,0.5336879432624113,lib,perspective_1_lib_16.jpeg
164,179,23,13,177,151,167,117,0.506900878293601,0.5487944890929966,lib,perspective_1_lib_82.jpeg
178,175,8,19,163,178,101,169,0.5067873303167421,0.49942594718714123,lib,perspective_1_flipped_lib_64.jpeg
178,179,11,12,175,140,175,98,0.5062761506276151,0.5186947654656696,lib,lib_6.jpeg
